Name,URL,Cities,Countries,Remote OK?,Process,Keywords
3D Hubs,https://3dhubs.com/jobs,Amsterdam,Netherlands,,"Take-home code challenge from our product's domain followed by discussion remote/on-site, sometimes do an additional on-site pair programming session.","takehome,code,challenge,product,domain,discussion,pair,session"
8th Light,https://8thlight.com/,"London,Chicago,Los Angeles,New York","United Kingdom (UK),United States of America (USA),United States of America (USA),United States of America (USA)",,"Take home code challenge, discussion, pair programming session","home,code,challenge,discussion,pair,session"
18F,https://pages.18f.gov/joining-18f,"Washington,New York,Chicago,San Francisco","United States of America (USA),United States of America (USA),United States of America (USA),United States of America (USA)",checked,"take-home coding exercise (2-4 hours), technical and values-match interviews over video chat","exercise,hour,valuesmatch,interview,video,chat"
500friends,http://500friends.com/careers,San Francisco,United States of America (USA),checked,Take home challenge followed by onsite expansion of the submission and high level discussions (design exercise or overview of past projects),"home,challenge,onsite,expansion,submission,level,discussion,design,exercise,overview,project"
500Tech,https://500Tech.com,Tel Aviv,Israel,,Pair programming on a laptop in working env,"pair,laptop,env"
1000mercis group,http://www.1000mercis.com/#!/careers/?lang=en,Paris,France,,"Series of interviews, that go over technical background, past experiences and cultural knowledge","series,interview,background,experience,knowledge"
Ableton,https://www.ableton.com/en/about,Berlin,Germany,,"Take-home programming task (discussed via Skype), then pair programming and debugging session on-site","takehome,task,skype,pair,session"
Abstract,https://angel.co/abstract/jobs,San Francisco,United States of America (USA),,,
Accenture,https://www.accenture.com/us-en/careers,"San Francisco,Los Angeles,New York","United States of America (USA),United States of America (USA),United States of America (USA)",,"Technical phone discussion with architecture manager, followed by behavioral interview focusing on soft skills","technical,phone,discussion,architecture,manager,interview,skill"
Accredible,https://www.accredible.com/careers/,"Cambridge,San Francisco","United Kingdom (UK),United States of America (USA)",checked,"Take home project, then a pair-programming and discussion onsite / Skype round.","home,project,discussion,onsite,skype,round"
Acko,https://acko.com,Mumbai,India,,"Phone interview, followed by a small take home problem. Finally a F2F or skype pair programming session","phone,interview,home,problem,f2f,skype,pair,session"
Acumen,http://www.acumenci.com/joinourteam/,London,United Kingdom (UK),,"Small take home test, and sit in on some sprint rituals on-site","small,home,test,sprint,ritual"
Addstones,https://www.addstones.com,"Paris,Singapore,Bucharest,London","France,Singapore,Romania,United Kingdom (UK)",,"Multiple interviews, discussion of technical background and experiences. Sometimes we do a on-site unsupervised small exercise.",
Adthena,http://adthena.com,London,United Kingdom (UK),,Takehome  project and discussion on-site,"takehome,project,discussion"
AdWyze,https://angel.co/adwyze/jobs,Bangalore,India,,Short takehome project + (for fulltime) onsite pairing,"short,takehome,project,fulltime,onsite"
AeroFS,https://www.aerofs.com/company/careers/,San Francisco,United States of America (USA),,Short takehome project + phone interview,"short,takehome,project,phone,interview"
Affinity,https://affinity.recruiterbox.com/#content,San Francisco,United States of America (USA),,"Implementation of a children's game, then take-home project OR real-world design questions","implementation,children,game,project,design,question"
AgileMD,https://angel.co/agilemd/jobs,San Francisco,United States of America (USA),,Takehome project,"takehome,project"
Agoda,https://careersatagoda.com/departments/technology/,Bangkok,Thailand,,"Take-home project, then a discussion onsite round.","takehome,project,discussion,onsite,round"
